"","user","negative","positive","sentiment","lon","lat"
"1579","Digi_Altitude",1,0,-1,-79.0192997,35.7595731
"1580","DigitalDisWorld",0,1,1,-81.5157535,27.6648274
"1581","digitalplantpot",4,2,-2,-3.073754,53.3727181
"1582","digna_devine",0,1,1,-6.8270607,34.0222698
"1583","Dill__Man",1,0,-1,-105.7820674,39.5500507
"1584","diltothesak",1,0,-1,NA,NA
"1585","dimaspd",2,2,0,106.8650395,-6.17511
"1586","DinhDamian",0,2,2,NA,NA
"1587","dinner4schfucks",0,1,1,NA,NA
"1588","dirkeodara",0,1,1,-118.2436849,34.0522342
"1589","Dis411",0,1,1,NA,NA
"1590","DiscoAerosports",0,1,1,-76.2874927,36.7682088
"1591","discoflamingo",1,0,-1,-92.970079,45.302812
"1592","DiscoverSelf",1,0,-1,-95.712891,37.09024
"1593","disdining",1,1,0,NA,NA
"1594","DisFanCom",1,1,0,NA,NA
"1595","dismoki",0,1,1,NA,NA
"1596","disney__mon",0,2,2,-84.2807329,30.4382559
"1597","disney_18",16,2,-14,NA,NA
"1598","disney_around",1,3,2,-118.0978902,33.7957676
"1599","disney_atheart",0,2,2,-81.563874,28.385233
"1600","disney_carrillo",2,3,1,101.6072453,3.1598547
"1601","Disney_Devan",2,0,-2,-79.0192997,35.7595731
"1602","Disney_Discuss",0,3,3,-74.4056612,40.0583238
"1603","Disney_Girl_",0,2,2,NA,NA
"1604","disney_IBURI",0,2,2,-79.3933081,43.6559374
"1605","disney_info_bot",0,1,1,NA,NA
"1606","Disney_JackR",0,1,1,NA,NA
"1607","disney_lilo",1,8,7,NA,NA
"1608","disney_lovepics",0,1,1,NA,NA
"1609","disney_michaela",0,1,1,NA,NA
"1610","Disney_Mommy87",0,1,1,NA,NA
"1611","Disney_Narry",1,0,-1,NA,NA
"1612","disney_newjack",0,1,1,NA,NA
"1613","Disney_OnWheels",1,0,-1,-3.0108824,52.7172266
"1614","Disney_Rides",1,0,-1,NA,NA
"1615","Disney_RIJIRA",1,3,2,NA,NA
"1616","disney_since_71",0,1,1,-81.581212,28.417663
"1617","disney_station",0,1,1,NA,NA
"1618","Disney_ToI",2,0,-2,NA,NA
"1619","disney_vine",0,1,1,NA,NA
"1620","disNEy_worldd",0,1,1,-91.143098,30.5229851
"1621","Disney366",0,3,3,-117.9988026,33.6594835
"1622","Disneyability",0,1,1,-117.9143012,33.8365932
"1623","DisneyAx",0,1,1,153.3152531,-27.8635076
"1624","DisneyDeezy",0,1,1,153.1932534,-28.6104322
"1625","DisneyDiary",0,1,1,-81.5331286,28.3252878
"1626","DisneyDragon",0,1,1,NA,NA
"1627","DisneyDuder",0,1,1,-117.9189742,33.8120918
"1628","disneyemoji",0,2,2,NA,NA
"1629","DisneyHistorian",1,3,2,NA,NA
"1630","DisneyIntHD",4,0,-4,78.96288,20.593684
"1631","Disneyismylife5",0,1,1,-81.3792365,28.5383355
"1632","DisneylandToday",1,3,2,-117.9143012,33.8365932
"1633","DisneyLiveCams",0,2,2,NA,NA
"1634","disneylovefan55",0,1,1,NA,NA
"1635","DisneyMamaLin",0,2,2,NA,NA
"1636","disneynialls",0,3,3,-87.6297982,41.8781136
"1637","DisneyPixels",0,2,2,NA,NA
"1638","DisneyTAgents",1,1,0,-0.1277583,51.5073509
"1639","DisneyWorldPost",0,3,3,NA,NA
"1640","disnxrryland",1,0,-1,NA,NA
"1641","disny_loooove",0,1,1,NA,NA
"1642","DivinePerez1",0,1,1,-118.2436849,34.0522342
"1643","DivineTheSeries",0,1,1,-123.1207375,49.2827291
"1644","divinity1234",1,1,0,NA,NA
"1645","dj48_d",0,1,1,NA,NA
"1646","dj9o1",0,3,3,NA,NA
"1647","djbabybok",2,0,-2,-84.3879824,33.7489954
"1648","DjFinalTrip",1,0,-1,-113.5020309,53.5434066
"1649","DJRhabhitz",0,1,1,NA,NA
"1650","djsiestasoul",0,1,1,NA,NA
"1651","djsw4y",0,1,1,NA,NA
"1652","dljasstephens",1,2,1,NA,NA
"1653","DLthings",0,1,1,NA,NA
"1654","dlvorcingwomen",0,2,2,NA,NA
"1655","DM_Ailee89",0,1,1,NA,NA
"1656","DMariePT",0,1,1,-73.134961,40.789142
"1657","dmatthewbarnes",0,3,3,-104.990251,39.7392358
"1658","DMBergmann70",0,2,2,NA,NA
"1659","dmyxxxx",1,3,2,-0.399623,51.5240614
"1660","DNTrip_101",0,1,1,NA,NA
"1661","doc_automated",3,0,-3,-92.6830003,34.5271317
"1662","DoctorApatite",1,0,-1,-95.3698028,29.7604267
"1663","DoctorCara",4,3,-1,-95.712891,37.09024
"1664","dollabiebs",0,1,1,-118.2436849,34.0522342
"1665","dollar_twins",0,1,1,NA,NA
"1666","dominickjadon",0,1,1,NA,NA
"1667","DominicMisasi",1,0,-1,-97.092877,35.0077519
"1668","domquincey",0,1,1,NA,NA
"1669","domtuck_",0,1,1,-87.6297982,41.8781136
"1670","doncarlos83",1,1,0,NA,NA
"1671","DonGalasso",0,1,1,NA,NA
"1672","donnnnn_51",1,0,-1,-94.465841,37.146693
"1673","DontHateThe8O8",1,1,0,NA,NA
"1674","doodlesbyreader",3,0,-3,-118.339838,34.170582
"1675","DopeGirlsPosts",0,4,4,NA,NA
"1676","dopemamapdx",1,0,-1,NA,NA
"1677","dopespillcomics",1,2,1,-84.3879824,33.7489954
"1678","DopestThoughtss",0,2,2,-90.5120498,38.7654684
"1679","DopeTeensPosts",0,2,2,-90.5120498,38.7654684
"1680","dorhsu",0,1,1,NA,NA
"1681","Dori_mingu",0,1,1,-79.9530876,40.4498367
"1682","DorianSoudjian",0,2,2,-95.712891,37.09024
"1683","dorito100",0,2,2,-120.5542012,43.8041334
"1684","dotxgraphics",0,1,1,NA,NA
"1685","DoubleA_23",0,1,1,NA,NA
"1686","DoubleT28425154",1,0,-1,-81.5157535,27.6648274
"1687","DownSynAdvocacy",0,2,2,-122.3320708,47.6062095
"1688","DownwardSocial",1,0,-1,-83.985,42.43472
"1689","dpowellromega",0,1,1,-85.1646726,34.257038
"1690","Dr_JGross",1,0,-1,-95.962422,36.039666
"1691","Dr_Simon_Frost",1,0,-1,NA,NA
"1692","Draigz",1,0,-1,-78.65421,35.7350629
"1693","Drako_Gaming",1,0,-1,NA,NA
"1694","dramateen99",0,2,2,NA,NA
"1695","DrawnThisWay_",1,1,0,-117.918672,33.8147681
"1696","dreaaeatsass",1,0,-1,NA,NA
"1697","dread6jah",1,0,-1,-74.0059728,40.7127753
"1698","DreamerFilmProd",0,1,1,-118.3286614,34.0928092
"1699","DreamScapeInk",0,2,2,-82.818899,42.1726977
"1700","DreamsOfLights",1,0,-1,-117.5486384,33.8717892
"1701","DreamVille_Mell",1,0,-1,-74.0059728,40.7127753
"1702","dreearenee",0,1,1,NA,NA
"1703","drewbacca1313",0,1,1,-119.4960106,49.8879519
"1704","drewlavielle261",0,1,1,NA,NA
"1705","drewski4u",1,0,-1,-83.7626729,34.1092735
"1706","DRG_2",0,1,1,NA,NA
"1707","drifTdawg",1,0,-1,NA,NA
"1708","DrillbotKillbot",1,0,-1,9.3483916,50.2277906
"1709","DripDroid",0,2,2,NA,NA
"1710","drreacx",0,1,1,-117.9608978,34.0852868
"1711","DRSJuliet26",0,2,2,-96.283862,31.6271145
"1712","drubov",0,1,1,-81.3792365,28.5383355
"1713","DrummerWrites",3,1,-2,NA,NA
"1714","DrunkenDiodorus",2,0,-2,NA,NA
"1715","DSchattenmann",0,1,1,NA,NA
"1716","dsetof",0,3,3,NA,NA
"1717","DsnyfnValencia",0,3,3,-95.962422,36.039666
"1718","Dtoscc",0,1,1,NA,NA
"1719","duaamilaa",0,2,2,-118.2436849,34.0522342
"1720","dual_screen",1,0,-1,175.6825774,-37.8717681
"1721","DualkeCooper",0,1,1,NA,NA
"1722","dubblife",2,0,-2,-97.7544841,30.4581881
